"latitude","longitude","brightness","daynight","acq_date","acq_time","daynight.1","type","datetime","city","state","population","wildfire","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","soil_moisture","elevation"
-26.0112,151.0822,324.1,"D","2020-10-30",431,"D",0,"2020-10-30 04:31:00","Kingaroy","Queensland",10020,1,23,7.2,53,1,0,0.3402,0.174376353621483,351
-37.3233,149.8608,334.1,"N","2020-01-04",1329,"N",0,"2020-01-04 13:29:00","Eden","New South Wales",3151,1,13.6,14.8,76,51,0,0.71155,0.147333562374115,304
-32.6784,121.9589,340.6,"D","2020-01-07",615,"D",0,"2020-01-07 06:15:00","Esperance","Western Australia",2080,1,33.8,13.1,12,0,0,0.3925,0.105457499623299,279
-35.891,147.9334,314,"N","2020-01-08",1305,"N",0,"2020-01-08 13:05:00","Tumut","New South Wales",6230,1,16.2,10,71,1,0,0.1727,0.0725835636258125,812
-21.2809,119.8048,337.3,"D","2020-11-07",238,"D",0,"2020-11-07 02:38:00",NA,NA,NA,1,40.5,29.4,10,10,0,0.1332,0.0533152520656586,267
-36.1456,149.4573,396.9,"D","2020-01-04",404,"D",0,"2020-01-04 04:04:00","Narooma","New South Wales",2605,1,23,4.3,53,37,0,0.46365,0.0737696811556816,994
-15.5697,141.995,300.2,"N","2020-07-24",1234,"N",0,"2020-07-24 12:34:00",NA,NA,NA,1,21.4,5.5,71,5,0,0.4256,0.126106828451157,24
-12.4139,133.4527,316.1,"D","2020-05-18",128,"D",0,"2020-05-18 01:28:00",NA,NA,NA,1,31.8,21.3,44,90,0,0.5766,0.148494780063629,198
-13.2982,142.3397,324.9,"D","2020-07-30",411,"D",0,"2020-07-30 04:11:00",NA,NA,NA,1,24.8,14.9,47,0,0,0.4781,0.135003954172134,108
-34.7173,150.2713,314.8,"N","2020-01-04",1507,"N",0,"2020-01-04 15:07:00","Moss Vale","New South Wales",8579,1,17.5,10.8,57,0,0,0.57135,0.100152254104614,293
-31.4385,151.759,302.4,"N","2020-01-07",1223,"N",0,"2020-01-07 12:23:00","Wingham","New South Wales",4556,1,18.9,8.7,81,1,0,0.522,0.0493942648172379,716
-14.9411,126.5236,318.9,"N","2020-10-23",1659,"N",0,"2020-10-23 16:59:00",NA,NA,NA,1,24.2,13.9,86,20,0,0.321,0.0394492708146572,336
-16.9741,138.0193,332.8,"D","2020-11-18",505,"D",0,"2020-11-18 05:05:00",NA,NA,NA,1,29.3,10,71,24,0,0.3789,0.0614711716771126,34
-37.316,149.1235,336.7,"N","2020-01-04",1507,"N",0,"2020-01-04 15:07:00","Orbost","Victoria",2014,1,11,11.9,77,95,0,0.4313,0.0755178853869438,554
-37.124,149.4969,323.4,"N","2020-01-04",1329,"N",0,"2020-01-04 13:29:00","Eden","New South Wales",3151,1,10,13,81,61,0,0.58555,0.0693712756037712,699
-24.8032,150.7848,304.1,"N","2020-03-06",1517,"N",0,"2020-03-06 15:17:00","Gladstone","Queensland",34703,1,21.1,11,95,100,0.7,0.704,0.183318853378296,393
-15.3437,144.3633,313.2,"D","2020-05-27",410,"D",0,"2020-05-27 04:10:00",NA,NA,NA,1,23.9,16.1,59,22,0,0.5769,0.129145354032516,65
-13.7471,130.5028,341.6,"D","2020-05-28",454,"D",0,"2020-05-28 04:54:00","Darwin","Northern Territory",139902,1,28.8,8.4,29,0,0,0.4369,0.126987591385841,29
-16.3332,124.4233,323.2,"D","2020-05-03",500,"D",0,"2020-05-03 05:00:00",NA,NA,NA,1,29.6,6.8,30,0,0,0.5807,0.147402673959732,18
-25.3662,150.733,356.5,"D","2020-11-12",401,"D",0,"2020-11-12 04:01:00","Kingaroy","Queensland",10020,1,22.8,16,37,1,0,0.4974,0.109508708119392,403
-19.8521,144.2334,309.5,"N","2020-01-11",1509,"N",0,"2020-01-11 15:09:00",NA,NA,NA,1,20.4,10.3,82,64,0,0.5213,0.0330313108861446,900
-12.3912,141.9225,339.4,"D","2020-10-02",411,"D",0,"2020-10-02 04:11:00",NA,NA,NA,1,29.4,23.6,41,1,0,0.2873,0.0693986192345619,45
-13.3134,133.6388,323.5,"D","2020-05-05",448,"D",0,"2020-05-05 04:48:00",NA,NA,NA,1,28,10.9,31,0,0,0.6637,0.151726931333542,362
-21.2847,145.3474,338.4,"D","2020-11-20",28,"D",0,"2020-11-20 00:28:00","Charters Towers","Queensland",8040,1,34.4,28,22,36,0,0.2296,0.0364746041595936,373
-25.7961,152.0936,336.8,"D","2020-11-02",2346,"D",0,"2020-11-02 23:46:00","Kingaroy","Queensland",10020,1,22.2,14.1,59,76,0,0.3497,0.125309005379677,174
-13.0346,142.8964,342.7,"D","2020-12-04",38,"D",0,"2020-12-04 00:38:00",NA,NA,NA,1,30.5,21.7,59,39,0.2,0.331,0.101083472371101,117
-21.4661,146.19,353.9,"D","2020-11-01",421,"D",0,"2020-11-01 04:21:00","Charters Towers","Queensland",8040,1,26.8,11.4,21,78,0,0.3228,0.111081548035145,326
-36.7259,149.434,338.7,"D","2020-01-25",423,"D",0,"2020-01-25 04:23:00","Merimbula","New South Wales",3544,1,18.2,12.4,94,100,0.3,0.3837,0.142168462276459,958
-16.2056,124.8552,343,"D","2020-11-11",212,"D",0,"2020-11-11 02:12:00",NA,NA,NA,1,34.4,22.3,39,53,0,0.4023,0.0775327607989311,337
-15.5389,124.8646,337.7,"D","2020-11-04",454,"D",0,"2020-11-04 04:54:00",NA,NA,NA,1,30.9,12.3,58,34,0,0.3096,0.0491109155118465,61
-32.1643,151.4289,311.1,"N","2020-01-04",1330,"N",0,"2020-01-04 13:30:00","Muswellbrook","New South Wales",10901,1,17.8,8.3,90,17,0,0.7793,0.0754314213991165,720
-11.949,134.1142,333.8,"D","2020-09-21",430,"D",0,"2020-09-21 04:30:00",NA,NA,NA,1,28.8,14.8,64,1,0,0.5426,0.0570213831961155,37
-19.815,144.654,311.1,"N","2020-11-27",1245,"N",0,"2020-11-27 12:45:00","Charters Towers","Queensland",8040,1,18.6,6.2,78,2,0,0.2984,0.0568112060427666,843
-13.6111,143.4907,338.2,"D","2020-11-07",57,"D",0,"2020-11-07 00:57:00",NA,NA,NA,1,29,11.6,56,0,0,0.5632,0.0852319598197937,20
-16.5936,143.6716,371.5,"D","2020-11-16",51,"D",0,"2020-11-16 00:51:00",NA,NA,NA,1,40,14.8,13,0,0,0.3528,0.111377604305744,141
-11.9453,133.6608,331.9,"D","2020-08-29",134,"D",0,"2020-08-29 01:34:00",NA,NA,NA,1,32.1,19.4,36,67,0,0.5134,0.0511441566050053,34
-32.74,122.1839,375.7,"D","2020-01-27",550,"D",0,"2020-01-27 05:50:00","Esperance","Western Australia",2080,1,33,6.8,34,54,0,0.4064,0.107777886092663,308
