"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","temp_C","wind","humidity","cloud_cover","precipitation","ndvi","elevation","soil_moisture"
0,"2020-01-17 09:17:47.171975",NA,NA,NA,-21.958991672063,116.256234383546,"D",0,29.8,9.3,61,91,0,0.1937,317,0.0848578587174416
0,"2020-02-02 19:34:39.347349",NA,NA,NA,-28.0733868562037,128.439117040511,"N",0,18.9,18.7,55,0,0,0.1886,344,0.0511912740767002
0,"2020-06-05 10:03:24.605032","Nuriootpa","South Australia",6204,-34.3112643618497,139.339636720018,"D",0,5.5,7.6,90,3,0,0.2594,79,0.104837611317635
0,"2020-05-27 19:54:11.126882","Innisfail","Queensland",1091,-17.6208534034486,146.037391591273,"D",0,21.2,7,72,4,0,0.6629,7,0.233897283673286
0,"2020-07-09 10:02:41.518226","Cobar","New South Wales",3369,-31.319976975566,145.344575017686,"N",0,11.9,13.6,77,95,0,0.598,225,0.069659411907196
0,"2020-08-11 20:52:12.457627","Narrabri","New South Wales",5499,-30.7986192016927,149.730162226936,"D",0,14,16.2,70,76,0,0.6935,434,0.157944679260254
0,"2020-08-06 20:10:36.835698",NA,NA,NA,-19.5284982547196,132.814048552123,"N",0,13.2,9.6,37,0,0,0.214,253,0.0424478203058243
0,"2020-03-04 10:07:51.370571",NA,NA,NA,-29.0523143671741,123.536882932536,"D",0,20.9,20.9,38,0,0,0.226,467,0.0562318041920662
0,"2020-04-27 20:59:39.208692",NA,NA,NA,-22.1892154068535,127.546138684555,"N",0,24.7,14.3,35,56,0,0.1702,373,0.0373754650354385
0,"2020-06-10 09:23:16.67722",NA,NA,NA,-25.9093214829704,142.126031920465,"N",0,15.4,7.5,44,1,0,0.2291,108,0.139972284436226
0,"2020-07-16 10:15:09.546729","Yass","New South Wales",5837,-34.3140757402743,149.006566798144,"D",0,3.8,5.4,94,28,0,0.8332,571,0.245319366455078
0,"2020-11-21 19:48:58.794799",NA,NA,NA,-30.1580171101966,126.215890434617,"D",0,17.6,23.9,61,19,0,0.1638,237,0.0716925412416458
0,"2020-04-23 20:26:32.42747","Stawell","Victoria",5627,-37.3077015834386,142.409389947393,"N",0,12.1,10.8,90,85,0,0.7307,261,0.109652705490589
0,"2020-05-25 20:16:04.023791",NA,NA,NA,-23.6958042608177,128.593283527925,"D",0,12.4,14,81,100,0.1,0.1744,460,0.0311905704438686
0,"2020-08-27 20:51:16.689492",NA,NA,NA,-21.7769139559024,143.819053522049,"N",0,19.1,17.8,48,0,0,0.1525,317,0.165104389190674
0,"2020-11-03 10:06:26.874194","Mansfield","Victoria",3999,-36.9873753720238,146.05106355149,"D",0,18,15.4,64,0,0,0.7624,324,0.3994260430336
0,"2020-12-05 10:30:45.839186","Red Cliffs","Victoria",3070,-34.0008283291993,143.466303246557,"N",0,13.9,23,50,0,0,0.2741,72,0.0827535539865494
0,"2020-07-09 19:33:51.958543",NA,NA,NA,-23.8870109013457,135.034765504058,"D",0,10.4,6.9,50,0,0,0.2151,414,0.0435998179018497
0,"2020-09-19 09:44:15.524578",NA,NA,NA,-27.0453366596028,143.925663065454,"N",0,20.8,28.6,68,28,0,0.1965,212,0.0616675615310669
0,"2020-04-25 10:17:28.441175",NA,NA,NA,-30.3755570789468,132.871428467267,"D",0,19.2,19.3,84,98,0,0.2244,203,0.041618138551712
0,"2020-05-14 21:30:00.996715",NA,NA,NA,-27.7767657076007,139.855695602422,"N",0,11.2,15.3,50,91,0,0.1842,34,0.0760231390595436
0,"2020-03-13 18:45:10.898003","Launceston","Tasmania",80943,-41.1066816759711,147.860525076829,"D",0,10.1,12.2,58,0,0,0.7656,207,0.293718338012695
0,"2020-03-29 20:04:30.594179","West Wyalong","New South Wales",2698,-33.5811784940418,146.729920966434,"D",0,19.9,10.5,87,98,0.1,0.3171,281,0.101945981383324
