"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness","cloud_cover","temp_C","wind","humidity","precipitation","ndvi","soil_moisture","elevation"
0,"2020-05-18 10:12:11.088736","Miami","Oklahoma",12960,36.8538041426749,-94.7981082517061,"D",0,25,15.6,17.8,65,0,0.8055,0.368869245052338,258
0,"2020-01-03 05:11:19.643942","Forsyth","Illinois",3656,39.9605818397124,-88.9439780188361,"N",0,5,4.9,9.5,96,0,0.2747,0.312215685844421,207
0,"2020-01-09 08:06:05.691606","Boulder","Utah",389,38.0484687817483,-111.652718326413,"D",0,91,-11.9,12.6,76,0,0.1019,0.0818482339382172,3140
0,"2020-11-14 12:44:36.050684","Ruth","Nevada",266,39.4982049995775,-115.056437421806,"D",0,0,-3,12.7,64,0,0.2879,0.0677081868052483,2046
0,"2020-08-05 13:54:56.633644","Dawson","Illinois",555,39.8813123426745,-89.4575532409254,"N",0,88,22.6,4.4,50,0,0.8148,0.271322935819626,180
0,"2020-04-04 00:36:22.009434","Powder Horn","Wyoming",818,44.7124028148439,-106.906626415783,"D",0,0,-8.4,9.1,59,0,0.231,0.196789860725403,1309
0,"2020-05-21 12:42:45.198899",NA,NA,NA,69.5698546124297,-141.754637638842,"D",0,100,-5.2,1.5,98,0,-0.013,0.314826369285583,0
0,"2020-01-27 00:30:45.345923",NA,NA,NA,68.9443246243363,-146.511055509412,"D",0,100,-38.9,5.5,69,0,-0.9999,0.231825470924377,0
0,"2020-10-25 01:31:04.950656","Suncrest","Washington",5590,47.7670292345992,-117.717912525758,"N",0,0,-7.8,14.5,62,0,0.4518,0.123371168971062,741
0,"2020-03-10 00:58:27.63027","Keenes","Illinois",63,38.3514399887712,-88.6202722311429,"D",0,100,14.5,27,89,0.5,0.4022,0.407120108604431,122
0,"2020-10-03 00:49:15.514732","Mobeetie","Texas",73,35.4972670146783,-100.371207784447,"N",0,92,18.3,17.7,49,0,0.342,0.0670080780982971,781
