"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness"
0,2020-08-31 20:51:02.039405,NA,NA,NA,-19.7769436205666,131.469769355643,"D",0
0,2020-02-26 20:26:49.242725,NA,NA,NA,-23.644117688364,137.70742422644,"N",0
0,2020-02-22 20:42:01.762438,NA,NA,NA,-20.9752423607038,129.575586795428,"D",0
0,2020-05-30 20:32:29.636063,"Roxby Downs","South Australia",3671,-29.8114069439923,137.246351230197,"N",0
0,2020-11-12 09:54:02.031675,NA,NA,NA,-21.7881871616998,124.630021928099,"D",0
0,2020-08-19 07:30:52.195315,"Wellington","New South Wales",4077,-32.5859671017397,149.138919749672,"N",0
0,2020-12-21 18:30:07.064022,NA,NA,NA,-20.9616925169013,139.559339460474,"N",0
0,2020-04-04 08:36:27.550897,NA,NA,NA,-21.7433803224966,141.182084288051,"N",0
0,2020-09-19 21:16:35.867091,NA,NA,NA,-20.525251056179,142.095428910016,"D",0
0,2020-01-15 20:37:35.347305,NA,NA,NA,-16.7581244790223,134.247767086164,"N",0
0,2020-03-27 21:11:13.34085,NA,NA,NA,-26.5051145428703,128.059066185217,"N",0
0,2020-05-17 19:28:37.107385,NA,NA,NA,-29.4970225276437,124.755866928248,"N",0
0,2020-09-30 20:03:59.06412,"Moama","New South Wales",7213,-36.2540468476676,144.75047247085,"D",0
0,2020-09-22 19:36:23.993448,NA,NA,NA,-23.8212474564705,145.198082117037,"D",0
0,2020-10-06 20:35:58.760654,NA,NA,NA,-27.823626452299,130.439520904986,"N",0
0,2020-08-17 08:39:42.781354,NA,NA,NA,-24.7503772788762,133.707284272938,"D",0
0,2020-12-13 19:28:08.806903,"Whyalla","South Australia",21501,-33.4038273814766,138.202534081343,"D",0
0,2020-09-06 19:54:38.079432,NA,NA,NA,-24.4422619269674,123.299744088132,"D",0
0,2020-07-14 20:31:55.050945,NA,NA,NA,-17.3596572611379,124.452716573186,"N",0
0,2020-04-23 21:10:06.977211,NA,NA,NA,-23.7732840071349,148.945247100586,"D",0
0,2020-12-04 20:38:43.043284,NA,NA,NA,-20.4592724584914,136.907663448955,"D",0
0,2020-08-28 18:25:40.620852,"Kapunda","South Australia",2947,-33.7732435534268,138.242039259491,"N",0
0,2020-08-29 18:09:39.367681,"Tanunda","South Australia",4394,-34.5425378387577,139.005004608439,"N",0
0,2020-12-23 20:36:10.315277,"Swan Hill","Victoria",9864,-35.0563268006127,143.474892353827,"N",0
0,2020-04-22 18:52:29.421511,NA,NA,NA,-18.6391724333129,139.874536843943,"D",0
0,2020-04-02 20:55:33.843495,"Roxby Downs","South Australia",3671,-30.4085233748129,135.840253989142,"D",0
0,2020-03-06 09:56:04.846283,NA,NA,NA,-24.7245174221039,137.801102328398,"D",0
0,2020-09-11 20:34:20.685123,NA,NA,NA,-26.8571299971816,142.200219242801,"D",0
0,2020-04-23 20:22:48.403286,NA,NA,NA,-23.9169028925119,117.896100521765,"D",0
0,2020-12-10 09:00:32.20024,NA,NA,NA,-21.0548441526233,125.081648689802,"D",0
0,2020-07-19 20:19:51.986856,NA,NA,NA,-18.1656916488352,122.889742411322,"N",0
0,2020-04-23 20:34:08.538443,NA,NA,NA,-25.0021917077216,139.33395990277,"D",0
0,2020-10-13 21:07:34.165506,"Horsham","Victoria",15134,-36.4849600359199,140.878733219122,"N",0
0,2020-03-23 17:59:51.724243,NA,NA,NA,-26.2981509657933,127.057801227265,"D",0
0,2020-09-06 09:24:36.188764,NA,NA,NA,-23.6795242017909,129.131019479894,"N",0
0,2020-09-22 20:00:42.979176,"Freshwater","Queensland",2023,-15.7845425956913,145.116369326677,"D",0
0,2020-12-21 20:16:29.667726,NA,NA,NA,-27.5425634158061,131.845888240514,"D",0
0,2020-01-31 09:37:15.384047,NA,NA,NA,-30.6297965052687,117.799602234482,"D",0
0,2020-08-24 18:29:28.41502,NA,NA,NA,-29.5138874874481,119.449434872797,"N",0
0,2020-07-05 09:09:07.499671,"San Remo","Victoria",1254,-38.473572936252,145.486883969019,"D",0
0,2020-11-21 09:56:50.190879,NA,NA,NA,-18.0615091080517,122.415476496705,"D",0
0,2020-09-03 20:53:00.055357,NA,NA,NA,-22.4067031397932,129.719990287949,"N",0
0,2020-01-19 20:45:21.533022,"Manilla","New South Wales",2014,-31.1283410076056,150.817341609266,"D",0
0,2020-10-22 10:02:50.415559,"Red Cliffs","Victoria",3070,-33.2773965766423,142.127302839773,"D",0
0,2020-08-20 07:35:46.442733,NA,NA,NA,-20.8551442301281,142.324146370806,"D",0
0,2020-06-27 22:14:32.681702,NA,NA,NA,-24.1529666132412,142.022747915842,"D",0
0,2020-10-15 09:01:46.070788,NA,NA,NA,-26.1142231680697,145.57157202305,"D",0
0,2020-03-18 19:31:41.15076,NA,NA,NA,-21.601097789886,120.166819664886,"D",0
0,2020-01-18 21:27:05.222824,NA,NA,NA,-26.571271337642,113.883313786814,"N",0
0,2020-04-04 20:14:27.133394,NA,NA,NA,-32.0452762892418,141.47903019793,"D",0
0,2020-05-23 10:13:02.343277,NA,NA,NA,-24.183951748758,134.805889227531,"N",0
