"wildfire","brightness","type","datetime","longitude","latitude","sza","computed_daynight_sza","nearest_city","nearest_city_population","state","datetime.1","hour_utc","datetime_utc","lat_bin","lon_bin","elevation","temp_C","AQI"
1,342.1,0,"2020-10-20 05:36:00",123.149,-17.519,126.93856476112,"D",NA,NA,NA,"2020-10-20 05:00:00","2020-10-19 18:36:00","2020-10-19 18:00:00",-17.5,123.1,67.0346145629883,34.3,224.477777777778
1,334.9,0,"2020-01-04 13:29:00",149.8595,-37.3406,15.3726058803506,"N","Eden",3151,"New South Wales","2020-01-04 13:00:00","2020-01-04 02:29:00","2020-01-04 02:00:00",-37.3,149.9,318.386199951172,14,235.845945945946
1,349.3,0,"2020-01-07 06:15:00",121.9455,-32.6306,107.592353032342,"D","Esperance",2080,"Western Australia","2020-01-07 06:00:00","2020-01-06 19:15:00","2020-01-06 19:00:00",-32.6,121.9,265.004821777344,33.8,242.867567567568
1,336.3,0,"2020-01-08 13:05:00",148.3083,-35.4825,13.2421225685528,"N","Tumut",6230,"New South Wales","2020-01-08 13:00:00","2020-01-08 02:05:00","2020-01-08 02:00:00",-35.5,148.3,989.485412597656,15,250.616666666667
1,376.5,0,"2020-11-04 04:52:00",125.4051,-20.8633,128.507194701366,"D",NA,NA,NA,"2020-11-04 04:00:00","2020-11-03 17:52:00","2020-11-03 17:00:00",-20.9,125.4,346.179809570312,37.8,237.194285714286
1,430.6,0,"2020-01-04 04:04:00",148.33,-36.0156,108.393363569316,"D","Jindabyne",2233,"New South Wales","2020-01-04 04:00:00","2020-01-03 17:04:00","2020-01-03 17:00:00",-36,148.3,1334.44079589844,28.1,255.231428571429
1,300,0,"2020-07-20 03:29:00",151.485,-30.1681,132.485789280793,"D","Armidale",21312,"New South Wales","2020-07-20 03:00:00","2020-07-19 17:29:00","2020-07-19 17:00:00",-30.2,151.5,1152.57287597656,5.8,196.983918128655
1,315.7,0,"2020-12-26 01:41:00",139.6485,-17.9782,138.639286979789,"D",NA,NA,NA,"2020-12-26 01:00:00","2020-12-25 14:41:00","2020-12-25 14:00:00",-18,139.6,15,31.6,281.66875
1,319.2,0,"2020-05-14 04:36:00",145.0346,-31.4682,120.670275910037,"D","Cobar",3369,"New South Wales","2020-05-14 04:00:00","2020-05-13 18:36:00","2020-05-13 18:00:00",-31.5,145,177.887893676758,13.1,262.697368421053
1,341.5,0,"2020-07-27 00:51:00",142.1577,-13.3381,173.29889970727,"D",NA,NA,NA,"2020-07-27","2020-07-26 14:51:00","2020-07-26 14:00:00",-13.3,142.2,107.323348999023,32.9,197.900584795322
1,330.4,0,"2020-01-04 15:07:00",150.2832,-34.7355,29.3405832287798,"N","Moss Vale",8579,"New South Wales","2020-01-04 15:00:00","2020-01-04 04:07:00","2020-01-04 04:00:00",-34.7,150.3,102.068450927734,20.5,234.864864864865
1,352,0,"2020-01-07 06:15:00",123.1679,-32.485,106.929872639382,"D",NA,NA,NA,"2020-01-07 06:00:00","2020-01-06 19:15:00","2020-01-06 19:00:00",-32.5,123.2,226.215759277344,33.7,242.867567567568
1,339.9,0,"2020-10-14 06:12:00",117.0097,-20.8259,124.434882484482,"D",NA,NA,NA,"2020-10-14 06:00:00","2020-10-13 19:12:00","2020-10-13 19:00:00",-20.8,117,51.4430236816406,35.6,220.862857142857
1,347.4,0,"2020-11-15 06:12:00",118.864,-20.954,116.709996818408,"D",NA,NA,NA,"2020-11-15 06:00:00","2020-11-14 19:12:00","2020-11-14 19:00:00",-21,118.9,140.88948059082,33.1,253.371428571429
1,349.5,0,"2020-01-04 15:07:00",149.277,-37.3309,29.3883633205141,"N","Eden",3151,"New South Wales","2020-01-04 15:00:00","2020-01-04 04:07:00","2020-01-04 04:00:00",-37.3,149.3,408.441284179688,12.9,234.864864864865
1,309.7,0,"2020-01-04 13:29:00",147.8839,-37.0827,14.6512544281885,"N","Orbost",2014,"Victoria","2020-01-04 13:00:00","2020-01-04 02:29:00","2020-01-04 02:00:00",-37.1,147.9,1109.80249023438,10.9,235.845945945946
1,341.2,0,"2020-02-29 04:54:00",141.2811,-36.5718,117.619014349141,"D","Horsham",15134,"Victoria","2020-02-29 04:00:00","2020-02-28 17:54:00","2020-02-28 17:00:00",-36.6,141.3,131.280151367188,20.6,231.54054054054
1,305.8,0,"2020-05-18 15:16:00",116.3656,-32.8914,54.6872295938361,"N","Mandurah",90306,"Western Australia","2020-05-18 15:00:00","2020-05-18 05:16:00","2020-05-18 05:00:00",-32.9,116.4,341.331665039062,7.9,273.837837837838
1,308.5,0,"2020-05-21 06:22:00",115.5371,-31.1461,123.926496861699,"D","Perth",3472,"Tasmania","2020-05-21 06:00:00","2020-05-20 20:22:00","2020-05-20 20:00:00",-31.1,115.5,41.3215942382812,14.4,257.502631578947
1,332.1,0,"2020-05-01 06:46:00",115.8106,-31.5222,116.440937281869,"D","Perth",3472,"Tasmania","2020-05-01 06:00:00","2020-04-30 20:46:00","2020-04-30 20:00:00",-31.5,115.8,83.2507858276367,17.6,250.182051282051
1,336.1,0,"2020-11-07 00:58:00",142.2617,-16.5051,147.102065090684,"D",NA,NA,NA,"2020-11-07","2020-11-06 13:58:00","2020-11-06 13:00:00",-16.5,142.3,42.6171379089355,39.5,263.7
1,307.7,0,"2020-01-11 13:35:00",148.3253,-35.4681,14.2214481071313,"N","Tumut",6230,"New South Wales","2020-01-11 13:00:00","2020-01-11 02:35:00","2020-01-11 02:00:00",-35.5,148.3,988.188720703125,13.2,254
1,339,0,"2020-09-23 01:28:00",136.6853,-12.6098,163.789552252695,"D",NA,NA,NA,"2020-09-23 01:00:00","2020-09-22 15:28:00","2020-09-22 15:00:00",-12.6,136.7,11.2118759155273,29.1,222.886111111111
1,310,0,"2020-05-03 02:11:00",132.3101,-13.5067,164.676453653152,"D","Palmerston",33695,"Northern Territory","2020-05-03 02:00:00","2020-05-02 16:11:00","2020-05-02 16:00:00",-13.5,132.3,167.366897583008,32.6,269.807894736842
1,321.9,0,"2020-11-16 13:03:00",145.6219,-21.1951,2.46660164723552,"N","Charters Towers",8040,"Queensland","2020-11-16 13:00:00","2020-11-16 02:03:00","2020-11-16 02:00:00",-21.2,145.6,334.338562011719,25.6,235.551428571429
1,324.6,0,"2020-10-29 03:49:00",151.0986,-26.0009,119.502326961107,"D","Kingaroy",10020,"Queensland","2020-10-29 03:00:00","2020-10-28 16:49:00","2020-10-28 16:00:00",-26,151.1,354.285125732422,21.6,241.644444444444
1,374.8,0,"2020-11-25 05:09:00",124.7828,-28.2471,117.542730219232,"D",NA,NA,NA,"2020-11-25 05:00:00","2020-11-24 18:09:00","2020-11-24 18:00:00",-28.2,124.8,391.977813720703,37.1,247.764705882353
1,334.5,0,"2020-10-24 00:45:00",141.806,-16.3215,150.971155139001,"D",NA,NA,NA,"2020-10-24","2020-10-23 13:45:00","2020-10-23 13:00:00",-16.3,141.8,18.9112911224365,36.6,257.141176470588
1,311.8,0,"2020-01-25 00:08:00",148.9299,-37.3517,121.045651239762,"D","Orbost",2014,"Victoria","2020-01-25","2020-01-24 13:08:00","2020-01-24 13:00:00",-37.4,148.9,613.89599609375,21.4,243.975
1,320.1,0,"2020-11-06 04:35:00",146.0432,-34.652,108.200987758673,"D","Leeton",7437,"New South Wales","2020-11-06 04:00:00","2020-11-05 17:35:00","2020-11-05 17:00:00",-34.7,146,125.348655700684,15.6,224.752941176471
1,357,0,"2020-10-31 02:30:00",124.8187,-17.5573,148.46183253759,"D",NA,NA,NA,"2020-10-31 02:00:00","2020-10-30 15:30:00","2020-10-30 15:00:00",-17.6,124.8,132.407180786133,39.5,232.275
1,347.6,0,"2020-12-10 04:28:00",142.998,-18.6849,118.268986509549,"D",NA,NA,NA,"2020-12-10 04:00:00","2020-12-09 17:28:00","2020-12-09 17:00:00",-18.7,143,304.997253417969,27,240.662857142857
1,387.8,0,"2020-01-04 13:29:00",149.5609,-37.1355,15.0973904284894,"N","Eden",3151,"New South Wales","2020-01-04 13:00:00","2020-01-04 02:29:00","2020-01-04 02:00:00",-37.1,149.6,520.365844726562,13.4,235.845945945946
1,327.1,0,"2020-09-10 00:25:00",146.6315,-32.9074,152.03550510904,"D","Condobolin",2579,"New South Wales","2020-09-10","2020-09-09 14:25:00","2020-09-09 14:00:00",-32.9,146.6,188.52458190918,19.5,239.762857142857
1,334.7,0,"2020-11-21 05:33:00",124.6169,-28.1789,114.366642867637,"D",NA,NA,NA,"2020-11-21 05:00:00","2020-11-20 18:33:00","2020-11-20 18:00:00",-28.2,124.6,380.029266357422,34.2,246.842857142857
1,342.1,0,"2020-11-04 00:27:00",144.6082,-15.298,148.039775772856,"D",NA,NA,NA,"2020-11-04","2020-11-03 13:27:00","2020-11-03 13:00:00",-15.3,144.6,65.044548034668,35.2,239.564705882353
1,372.9,0,"2020-11-10 04:17:00",142.8774,-12.7467,125.651371557448,"D",NA,NA,NA,"2020-11-10 04:00:00","2020-11-09 17:17:00","2020-11-09 17:00:00",-12.7,142.9,82.8179168701172,26.9,265.534285714286
1,313.7,0,"2020-08-15 01:22:00",144.4653,-14.7758,166.741211350809,"D",NA,NA,NA,"2020-08-15 01:00:00","2020-08-14 15:22:00","2020-08-14 15:00:00",-14.8,144.5,55.2868728637695,33.6,206.32
1,324.3,0,"2020-01-26 23:56:00",149.3706,-36.7181,121.351619720778,"D","Merimbula",3544,"New South Wales","2020-01-26 23:00:00","2020-01-26 12:56:00","2020-01-26 12:00:00",-36.7,149.4,950.579528808594,13.4,252.077142857143
1,305.5,0,"2020-11-18 12:53:00",142.9976,-12.4063,8.4270448114487,"N",NA,NA,NA,"2020-11-18 12:00:00","2020-11-18 01:53:00","2020-11-18 01:00:00",-12.4,143,67.9684982299805,25.4,217.647222222222
1,342.5,0,"2020-10-18 04:10:00",144.6009,-14.8389,128.636611362375,"D",NA,NA,NA,"2020-10-18 04:00:00","2020-10-17 17:10:00","2020-10-17 17:00:00",-14.8,144.6,64.4706115722656,27.9,232.844444444444
1,330.7,0,"2020-11-09 05:12:00",131.739,-12.7699,123.578988227208,"D","Palmerston",33695,"Northern Territory","2020-11-09 05:00:00","2020-11-08 18:12:00","2020-11-08 18:00:00",-12.8,131.7,40.5560188293457,31.4,257.367647058824
1,445.1,0,"2020-01-04 04:04:00",149.4876,-37.4025,106.741363980177,"D","Eden",3151,"New South Wales","2020-01-04 04:00:00","2020-01-03 17:04:00","2020-01-03 17:00:00",-37.4,149.5,122.420623779297,18.1,255.231428571429
1,405.5,0,"2020-01-04 04:04:00",149.5071,-36.11,107.685961943132,"D","Narooma",2605,"New South Wales","2020-01-04 04:00:00","2020-01-03 17:04:00","2020-01-03 17:00:00",-36.1,149.5,1006.48352050781,22.4,255.231428571429
1,312.7,0,"2020-01-26 23:56:00",149.5123,-37.0608,121.076360869426,"D","Eden",3151,"New South Wales","2020-01-26 23:00:00","2020-01-26 12:56:00","2020-01-26 12:00:00",-37.1,149.5,541.974060058594,14.9,252.077142857143
1,348.7,0,"2020-11-12 05:39:00",123.581,-27.2136,115.967987623958,"D",NA,NA,NA,"2020-11-12 05:00:00","2020-11-11 18:39:00","2020-11-11 18:00:00",-27.2,123.6,477.446533203125,27.1,245.525
1,319,0,"2020-07-26 04:36:00",132.7948,-11.4783,131.282863905558,"D",NA,NA,NA,"2020-07-26 04:00:00","2020-07-25 18:36:00","2020-07-25 18:00:00",-11.5,132.8,38.5552711486816,26.1,196.883040935673
1,323.9,0,"2020-11-13 17:18:00",126.6199,-17.6578,42.6546436992178,"N",NA,NA,NA,"2020-11-13 17:00:00","2020-11-13 06:18:00","2020-11-13 06:00:00",-17.7,126.6,404.629943847656,33.2,249.782857142857
1,330.2,0,"2020-03-01 01:18:00",140.5068,-20.8904,150.210436875909,"D",NA,NA,NA,"2020-03-01 01:00:00","2020-02-29 14:18:00","2020-02-29 14:00:00",-20.9,140.5,237.337966918945,37.8,238.502777777778
1,305.3,0,"2020-06-08 04:30:00",146.0548,-32.0991,123.511423121871,"D","Cobar",3369,"New South Wales","2020-06-08 04:00:00","2020-06-07 18:30:00","2020-06-07 18:00:00",-32.1,146.1,254.830535888672,9.5,267.937837837838
