"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness"
0,2020-12-31 01:15:14.88187,"Big Delta","Alaska",646,64.5186767498766,-145.279754327681,"D",0
0,2020-03-17 08:50:07.113285,"Hugo","Colorado",915,38.8650636155424,-103.5345023264,"N",0
0,2020-04-14 13:02:07.414338,"West Wendover","Nevada",4507,40.1944689647812,-114.560151080844,"D",0
0,2020-02-23 01:06:12.674149,"Big Springs","Nebraska",479,41.0589625410339,-102.137392065572,"N",0
0,2020-02-26 12:08:26.687274,"Chalkyitsik","Alaska",103,66.5761292994309,-144.253864910152,"D",0
0,2020-04-14 13:10:11.450121,"Becenti","New Mexico",274,35.8734573140974,-108.259601451642,"D",0
0,2020-02-22 01:23:53.286575,"Alamillo","New Mexico",168,34.3105238259034,-107.00544021712,"N",0
0,2020-03-03 09:54:23.786885,"Stonewall","Louisiana",2394,32.2782697511314,-93.8251621107627,"N",0
0,2020-08-22 00:52:55.725632,"Murphy","North Carolina",1356,35.0664343535356,-84.1239299350227,"D",0
0,2020-03-15 00:17:49.433686,"Sewell","New Jersey",3065,39.7723086289015,-75.1740362406596,"D",0
0,2020-02-12 06:07:37.163484,"Copper Harbor","Michigan",135,47.9295784831199,-87.6368786087527,"N",0
0,2020-01-31 11:00:24.016932,"Kayenta","Arizona",5651,36.4948355511552,-110.379413659308,"D",0
0,2020-05-01 13:45:38.370834,"Ola","Arkansas",977,35.0453549191378,-93.2675452150057,"D",0
0,2020-12-18 04:24:06.273148,"Lake Arthur","Louisiana",2599,29.8556516148184,-92.7608607431673,"N",0
0,2020-12-07 10:19:06.113612,"Bent","New Mexico",9,33.273790152271,-105.998178296619,"N",0
0,2020-03-12 00:30:57.10899,"Rapid City","South Dakota",90421,44.1231661552776,-103.241020907083,"N",0
0,2020-12-14 10:26:02.814886,"Hachita","New Mexico",13,32.0652594072135,-108.203680715089,"N",0
0,2020-12-18 08:41:05.990647,"Lake Havasu City","Arizona",58037,34.6157254585567,-114.030264031044,"D",0
0,2020-11-02 12:04:25.159708,"Livingston Wheeler","New Mexico",643,32.4103745381486,-104.057345961354,"N",0
0,2020-02-02 23:30:05.420304,"Cecil","Ohio",156,41.24856457445,-84.6870538857531,"N",0
0,2020-07-13 13:26:48.750063,"Baker","Nevada",16,39.0459398828108,-113.865792640386,"N",0
